LOCATION,NAME,FACILITY_TYPE,WEBLINK,FACILITY_SUBTYPE,FACILITYID,LONGITUDE,LATITUDE
12928 66A AVE,Martha Jane Norris Elementary School,School,https://www.surreyschools.ca/schools/marthajanenorris/Pages/default.aspx,Elementary,1001253057,-122.86495168879047,49.12343164351135
14525 110A AVE,Ellendale Elementary School,School,https://www.surreyschools.ca/schools/ellendale/Pages/default.aspx,Elementary,1001254227,-122.819799093427,49.203586488805165
13484 24 AVE,Elgin Park Secondary School,School,https://www.surreyschools.ca/schools/elginpark/Pages/default.aspx,Secondary,1001254156,-122.8484479278328,49.04461295606385
13750 96 AVE,Surrey Memorial Hospital,Hospital,http://www.fraserhealth.ca/find_us/locations/our_locations?site_id=1792,,1001253734,-122.8425430154873,49.175846438194846
14590 116A AVE,Iqra Islamic School,School,http://www.iqraschool.com,Private,1001254241,-122.81821603718579,49.21383695080695
7778 152 ST,Eaglequest Golf Course,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,1001266716,-122.79945439989756,49.14393525245983
15455 26  AVE,Sunnyside Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14045.aspx,,1001222941,-122.7950421042334,49.05014861281439
9457 KING GEORGE BLVD,Queen Elizabeth Secondary School,School,https://www.surreyschools.ca/schools/queene/Pages/default.aspx,Secondary,1001264552,-122.84746596815779,49.1745210716468
11665 97 AVE,Royal Heights Elementary School,School,https://www.surreyschools.ca/schools/royalheights/Pages/default.aspx,Elementary,1001251063,-122.89889282310321,49.179421786219635
16060 108 ST,Fraser Heights Secondary School,School,https://www.surreyschools.ca/schools/fraserheights/Pages/default.aspx,Secondary,1001247732,-122.77713187680254,49.19775240926748
8226 146 ST,Janice Churchill Elementary School,School,https://www.surreyschools.ca/schools/janicechurchill/Pages/default.aspx,Elementary,1001264219,-122.8161940039055,49.1527187695934
13450 104 AVE,Surrey City Hall,Municipal,http://www.surrey.ca/city-government/14172.aspx,,1001557881,-122.84931374505852,49.19124542940146
7218 KING GEORGE BLVD,Newton Bottle Depot Inc.,Garbage and Recycling,http://www.encorpinc.com,Bottle Depot,1001269785,-122.84448181225285,49.1342599090803
10929 160 ST,Erma Stephenson Elementary School,School,https://www.surreyschools.ca/schools/ermastephenson/Pages/default.aspx,Elementary,1001261444,-122.77948997629993,49.20132826674257
13479 77 AVE,North Surrey Learning Centre,School,https://www.surreyschools.ca/schools/northsurreylc/Pages/default.aspx,Administration,1001252893,-122.8484900285137,49.14312976873258
13367 97 AVE,A.H.P. Matthew Elementary School,School,https://www.surreyschools.ca/schools/ahpmatthew/Pages/default.aspx,Elementary,1001273958,-122.85329312345279,49.17958585206561
15024 24 AVE,Star Of The Sea,School,http://www.staroftheseaschool.ca/,Private,1001229054,-122.80601845399548,49.04482519605497
14400 Currie Dr,Invergarry Park Washroom,Washroom,,,1002265275,-122.8166661235189,49.207819846695166
2040 150 ST,Meridian Centre,Community Hall/Centre,http://www.surrey.ca/culture-recreation/5053.aspx,,1001222967,-122.80625683478502,49.03879698702208
9353 160 ST,Hemlock Works Yard,Municipal,http://www.surrey.ca/city-government/717.aspx,,1001222970,-122.77943530304574,49.17263256602985
19340 88 AVE,Port Kells Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14048.aspx,,1001223078,-122.68675434648058,49.161199281417296
6060 176 ST ,Alice McKay,Community Hall/Centre,http://www.cloverdalerodeo.com/facilities-and-events/,,1001222972,-122.73419153763012,49.11279107989563
6050 176 ST,Stetson Bowl,Attraction,http://www.cloverdalerodeo.com/our-facilities/stetson-bowl/,,1001222976,-122.72684820832825,49.115428378627136
15996 84 AVE,Fleetwood Community Centre,Community Hall/Centre,http://www.surrey.ca/culture-recreation/1858.aspx,,1001222980,-122.77977976598035,49.15500525437515
16824 32 AVE,Kensington Prairie Community Centre,,,,1001222987,-122.7556266201199,49.05994103462489
6050 176 ST,Fraser Downs Racetrack & Casino,Attraction,http://www.fraserdowns.com,,1001222988,-122.73045714588359,49.11224857460003
6050 176 ST,Shannon Hall,Community Hall/Centre,http://www.cloverdalerodeo.com/our-facilities/shannon-hall/,,1001222992,-122.7341244980544,49.1123787397713
6150 176 ST,Cloverdale Curling Rink,Arena,http://www.cloverdalecurlingclub.ca/,,1001222993,-122.73434099469635,49.114267872107874
6090 176 ST,Cloverdale Ice Arena,Arena,http://www.surrey.ca/culture-recreation/5031.aspx,,1001222994,-122.7339437318998,49.11324151580786
1379 128 ST,Kwomais Sanford Hall,Park,http://www.surrey.ca/culture-recreation/6177.aspx,,1001222997,-122.86878572831267,49.02672850352611
12854 17 AVE,Ocean Park Library,Library,http://www.surreylibraries.ca/location-hours/4686.aspx,,1001223001,-122.86611145544185,49.0325354217965
13723 CRESCENT RD,The Hooser Weaving Centre,Attraction,http://www.surrey.ca/youth/4751.aspx,,1001223003,-122.84120166747346,49.065126908956174
13723 CRESCENT RD,Ward's Marina,Other Recreation,http://cruisingundersail.com/wp/?page_id=965,,1001223004,-122.84254914334248,49.06563253354956
13723 CRESCENT RD,Elg Hrtg Prk Stwrt Bunkhouse,Park,http://www.surrey.ca/culture-recreation/2014.aspx,,1001223006,-122.84303001921052,49.064596511159145
7120 136B ST,Newton Arena,Arena,http://www.surrey.ca/culture-recreation/7325.aspx,,1001223009,-122.84205241380226,49.13209975096884
14225 GREEN TIMBERS WAY,Surrey Nature Centre Admin Building,Attraction,http://www.surrey.ca/culture-recreation/2311.aspx,,1001223011,-122.83034834231223,49.17886900118758
14225 GREEN TIMBERS WAY,Surrey Nature Centre,Attraction,http://www.surrey.ca/culture-recreation/2311.aspx,,1001223012,-122.83033498254005,49.1792241211681
2201 148 ST,South Surrey Ice Arena,Arena,http://www.surrey.ca/culture-recreation/1919.aspx,,1001223016,-122.81560555733796,49.041547929496296
14655 17 AVE,South Surrey Indoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/1755.aspx,,1001223023,-122.81579328790953,49.0333743609304
10395 148 ST,Guildford RCMP Sub-Station,RCMP,http://www.surreyrcmp.ca,,1001223024,-122.81302531978329,49.191213609704405
14586 108 AVE,Fire Hall # 04,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001223026,-122.81791936760915,49.19843343420247
13700 96 AVE,SMH Parking Lot,Municipal,,,1001233528,-122.84343287516776,49.17658646595005
13723 CRESCENT RD,EHP - Stewart Hall,Other Recreation,http://www.surrey.ca/culture-recreation/2875.aspx,,1001223033,-122.84247421559074,49.06496052999594
2016 176 ST,Fire Hall # 14,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001223046,-122.73479849847588,49.0387588036935
10277 148 ST,Hjorth Road Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14046.aspx,,1001223056,-122.81296727471036,49.189323500866685
18918 88 AVE,Port Kells Community Hall,Community Hall/Centre,http://www.portkellscommunity.com/wp/,,1001222912,-122.69853527812639,49.162219291520316
7399 122 ST,Strawberry Hill Library,Library,http://www.surreylibraries.ca/location-hours/4690.aspx,,1001222913,-122.8851428200376,49.13748573392215
18228 68 AVE,Adams Road Elementary School,School,https://www.surreyschools.ca/schools/adamsroad/Pages/default.aspx,Elementary,1001316772,-122.71737293419457,49.12524593253737
14901 64 AVE,Fire Hall # 09,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001223073,-122.80999436995003,49.11958384363195
